run_id,model,prompt_id,rag_index,scope,n,tp,fp,tn,fn,invalid,recall,recall_lo,recall_hi,fpr,fpr_lo,fpr_hi,precision,precision_lo,precision_hi,f1,f1_lo,f1_hi,latency_mean,latency_median,tokens_in_mean,tokens_out_mean
baseline,baseline,rules,,all,109,35,12,42,20,0,0.6363636363636364,0.5094174114531612,0.7609387351778656,0.2222222222222222,0.11764705882352941,0.34429210134128163,0.7446808510638298,0.6249305555555555,0.8679655455291222,0.6862745098039216,0.5652046035805626,0.7778070175438596,0.0,0.0,0.0,0.0
baseline,baseline,rules,,shai_hulud,15,15,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline,baseline,rules,,nato_malevolo,28,15,0,0,13,0,0.5357142857142857,0.35714285714285715,0.7142857142857143,,,,1.0,1.0,1.0,0.6976744186046512,0.5263157894736842,0.8333333333333334,0.0,0.0,0.0,0.0
baseline,baseline,rules,,compromesso,12,5,0,0,7,0,0.4166666666666667,0.16666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,0.5882352941176471,0.2857142857142857,0.8,0.0,0.0,0.0,0.0
baseline,baseline,rules,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline,baseline,rules,,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline,baseline,rules,,shai_hulud_w3,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline,baseline,rules,,benigno_popolare,20,0,6,14,0,0,,,,0.3,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,rules,,benigno_difficile,20,0,5,15,0,0,,,,0.25,0.09875000000000007,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,rules,,pulito_accoppiato,14,0,1,13,0,0,,,,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control,granite4.2:8b,p1,,all,29,15,3,11,0,0,1.0,1.0,1.0,0.21428571428571427,0.0,0.45454545454545453,0.8333333333333334,0.6470588235294118,1.0,0.9090909090909091,0.7857142857142857,1.0,31.197344827586207,22.88,1276.1724137931035,400.41379310344826
control,granite4.2:8b,p1,,shai_hulud,15,15,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,38.0552,40.75,1526.4666666666667,478.0
control,granite4.2:8b,p1,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,40.2456,42.22,1101.4,550.0
control,granite4.2:8b,p1,,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,36.343599999999995,24.718,1918.2,413.6
control,granite4.2:8b,p1,,shai_hulud_w3,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,37.5764,22.833,1559.8,470.4
control,granite4.2:8b,p1,,pulito_accoppiato,14,0,3,11,0,0,,,,0.21428571428571427,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,23.849642857142857,14.647499999999999,1008.0,317.2857142857143
control,granite4.2:8b,p3,storico_base,all,29,14,3,11,1,0,0.9333333333333333,0.7857142857142857,1.0,0.21428571428571427,0.0,0.45454545454545453,0.8235294117647058,0.625,1.0,0.875,0.7331818181818182,0.9743589743589743,35.23813793103448,31.8,2778.310344827586,316.7586206896552
control,granite4.2:8b,p3,storico_base,shai_hulud,15,14,0,0,1,0,0.9333333333333333,0.8,1.0,,,,1.0,1.0,1.0,0.9655172413793104,0.8888888888888888,1.0,43.208333333333336,37.017,3330.8,391.73333333333335
control,granite4.2:8b,p3,storico_base,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,40.879,33.86,2934.6,404.6
control,granite4.2:8b,p3,storico_base,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,44.1056,37.877,4057.8,359.0
